   期号   	       红球号码       	   蓝球号码   
  25028   	 4  9 14 15 18 25 		    15    
  25029   	 5 15 16 25 30 33 		    16    
  25030   	 4  6  7 30 31 33 		    6     
  25031   	 1  5  6  8 23 28 		    1     
  25032   	 3  8 10 14 16 21 		    3     
  25033   	 3  5 18 25 26 33 		    8     
  25034   	 5  8 13 14 24 26 		    12    
  25035   	 1  8 16 18 25 31 		    1     
  25036   	 5 11 13 16 19 32 		    7     
  25037   	 3  6 11 20 21 31 		    2     
  25038   	 6 19 20 23 26 33 		    9     
  25039   	 8 10 12 15 17 23 		    11    
  25040   	 2  6  8  9 10 24 		    11    
  25041   	 6 10 17 19 25 31 		    6     
  25042   	 7 13 19 23 27 33 		    12    
  25043   	 3 12 16 19 20 32 		    13    
  25044   	 2  3  7  8 14 28 		    11    
  25045   	 2 14 19 24 29 33 		    13    
  25046   	 2  3 10 16 29 33 		    1     
  25047   	 1 14 21 22 23 31 		    12    
  25048   	16 21 22 23 27 31 		    10    
  25049   	 3  6 19 27 29 33 		    11    
  25050   	 9 12 15 18 22 33 		    16    
  25051   	 1  2  3  4 17 22 		    1     
  25052   	 6  7 10 17 20 26 		    9     
  25053   	 6  9 10 13 30 33 		    7     
  25054   	 5  7 10 21 24 27 		    16    
  25055   	 2  5 22 27 29 33 		    12    
  25056   	 1  2 10 14 28 31 		    3     
  25057   	 4  9 15 16 25 30 		    14    
