　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　图片名称　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	　　　　　　　　　　　　　图片地址　　　　　　　　　　　　　	　　　　　　　　　　　　　　　　　　本地路径　　　　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　许凯吴谨言《尚食》电视剧剧照高清图片.jpg　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/220222/9-220222142325516.jpg	　　　　　　　　　　　　　　　img/9-220222142325516.jpg
　　　　　　　　　　　　　　　　　　　　　　　　《那年青春》种丹妮剧照.jpg　　　　　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160514/9-1605141ZT80-L.jpg	　　　　　　　　　　　　　　　　　img/9-1605141ZT80-L.jpg
　　　　　　　　　　　　　　　　　　　　　　继承者们剧照 姜珉赫温柔魅力散发.jpg　　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/140106/1-140106101954624.jpg	　　　　　　　　　　　　　　　img/1-140106101954624.jpg
　　　　　　　　　　　　　　　　　　　　　　　　　　《继承者们》剧照.jpg　　　　　　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/131112/3-131112135Sc28.jpg	　　　　　　　　　　　　　　　　　img/3-131112135Sc28.jpg
　　　　　　　　　　　　　　　　　　　胡一天邢菲都市青春剧《你好，神枪手》海报图片.jpg　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/220221/37-220221092204363.jpg	　　　　　　　　　　　　　　img/37-220221092204363.jpg
　　　　　　　　　　　　　　　　　　《柠檬初上》最新温馨海报  5月9日江苏卫视开播.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160510/9-1605101625380-L.jpg	　　　　　　　　　　　　　　　img/9-1605101625380-L.jpg
　　　　　　　　　　　　　　　　　　《宝贝当家》合家欢版海报  王诗龄化身“小超人”.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160509/9-1605091609490-L.jpg	　　　　　　　　　　　　　　　img/9-1605091609490-L.jpg
　　　　　　　　　　　　　　　　　　　　《新萧十一郎》甘婷婷剧照  眼神凌厉狠绝.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160216/9-1602161644410-L.jpg	　　　　　　　　　　　　　　　img/9-1602161644410-L.jpg
　　　　　　　　　　　　　　　　　《因为爱情有幸福》今日开播  唐艺昕校园邂逅陈伟霆.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160224/9-1602241R2210-L.jpg	　　　　　　　　　　　　　　　　img/9-1602241R2210-L.jpg
　　　　　　　　　　　　　　　　　　　　《新萧十一郎》收视破亿  甘婷婷要火了！.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160218/9-16021Q444440-L.jpg	　　　　　　　　　　　　　　　　img/9-16021Q444440-L.jpg
　　　　　　　　　　　　　　　　　　　《惊天岳雷》人物海报  主演表情严肃显神秘.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160217/9-16021H043410-L.jpg	　　　　　　　　　　　　　　　　img/9-16021H043410-L.jpg
　　　　　　　　　　　　　　　　《因为爱情有幸福》元宵节欢乐海报  牛腩夫妇CP感十足.jpg　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160224/9-1602241Q9330-L.jpg	　　　　　　　　　　　　　　　　img/9-1602241Q9330-L.jpg
　　　　　　　　　　　　　　　　　　《女不强大天不容》职场剧照  海清变身霸道女社长.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160218/9-16021R103460-L.jpg	　　　　　　　　　　　　　　　　img/9-16021R103460-L.jpg
　　　　　　　　　　　　　　　　　　　　《寻找爱的冒险》夺宝高潮 剧情扑朔迷离.jpg　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160224/9-1602241S0050-L.jpg	　　　　　　　　　　　　　　　　img/9-1602241S0050-L.jpg
　　　　　　　　　　　　　　　　　　　　三生三世首轮剧照曝光  杨幂真的太漂亮了.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160308/9-16030QQ5180-L.jpg	　　　　　　　　　　　　　　　　　img/9-16030QQ5180-L.jpg
　　　　　　　　　　　　　　　　　《我的特工爷爷》最新海报和剧照  4月1日全国公映.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160303/9-1603031041390-L.jpg	　　　　　　　　　　　　　　　img/9-1603031041390-L.jpg
　　　　　　　　　　　　　　　　　　　《左耳》闺蜜版海报  带你重温校园美好时光.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160307/9-16030G62U40-L.jpg	　　　　　　　　　　　　　　　　　img/9-16030G62U40-L.jpg
　　　　　　　　　　　　　　　　　　　　《爱人的谎言》贾青张晓龙浪漫约会亲吻照.jpg　　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160307/9-16030G631400-L.jpg	　　　　　　　　　　　　　　　　img/9-16030G631400-L.jpg
　　　　　　　　　　　　　　　《寂寞空庭春欲晚》郑爽刘恺威床戏图片  郑爽大尺度露性感玉腿.jpg　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160127/9-16012G44S70-L.jpg	　　　　　　　　　　　　　　　　　img/9-16012G44S70-L.jpg
　　　　　　　　　　　　　　　　　　《生命中的好日子》主演人物海报  回忆知青岁月.jpg　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160310/9-1603101411060-L.jpg	　　　　　　　　　　　　　　　img/9-1603101411060-L.jpg
　　　　　　　　　　　　　　　　　《新萧十一郎》朱一龙甘婷婷大婚喜照  虐恋模式已开启.jpg　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160216/9-1602161642080-L.jpg	　　　　　　　　　　　　　　　img/9-1602161642080-L.jpg
　　　　　　　　　　　　　　　　　《寂寞空庭春欲晚》“雪落缘起”版海报  2月初一上映.jpg　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160127/9-16012G455430-L.jpg	　　　　　　　　　　　　　　　　img/9-16012G455430-L.jpg
　　　　　　　　　　　　　　　　　　《因为爱情有幸福》唐艺昕陈伟霆虐单身狗的情侣图片.jpg　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160214/9-160214202S80-L.jpg	　　　　　　　　　　　　　　　　img/9-160214202S80-L.jpg
　　　　　　　　　　　　　　　　　　　《诛仙》碧瑶饰演者赵丽颖定妆照  仙气十足.jpg　　　　　　　　　　　　　　　　　　　　	https://tpzj.tangzhuanzu.com/uploads/allimg/160128/9-16012Q012350-L.jpg	　　　　　　　　　　　　　　　　img/9-16012Q012350-L.jpg
